Player;Pos.;2024 Team;2025 Team;Type;Snaps;Age;Current APY;Guarantees
Kendrick Green;C;Texans;;UFA;16.1%;27;$1,218,941;$906,008
Patrick Jones II;EDGE;Vikings;;UFA;40.4%;27;$1,217,524;$901,888
Laken Tomlinson;LG;Seahawks;;UFA;99.7%;33;$1,210,000;$500,000
Eddie Goldman;IDL;Falcons;;UFA;29.7%;31;$1,210,000;$0
Elijah Wilkinson;LG;Falcons;;UFA;0.1%;30;$1,210,000;$0
Jordan Phillips;IDL;Bills;;UFA;13.0%;33;$1,210,000;$0
Allen Robinson;WR;Lions;;UFA;7.9%;32;$1,210,000;$0
Michael Palardy;P;Cardinals;;UFA;8.5%;33;$1,210,000;$0
Shaquil Barrett;EDGE;Buccaneers;;UFA;1.1%;33;$1,210,000;$0
Pat O'Donnell;P;49ers;;UFA;12.4%;34;$1,210,000;$0
Teddy Bridgewater;QB;Lions;;UFA;0.0%;33;$1,210,000;$0
Chris Hubbard;RT;Giants;;UFA;22.8%;34;$1,210,000;$0
Brandon McManus;K;Packers;;UFA;25.3%;34;$1,210,000;$0
Tony Jefferson;S;Chargers;;UFA;20.5%;33;$1,210,000;$0
Russell Wilson;QB;Steelers;;UFA;63.7%;37;$1,210,000;$1,210,000
Jake McQuaide;LS;Dolphins;;UFA;13.4%;38;$1,210,000;$0
Nick Bellore;LB;Commanders;;UFA;0.6%;36;$1,210,000;$0
Tashaun Gipson;S;49ers;;UFA;5.3%;35;$1,210,000;$0
Mark Glowinski;RG;Colts;;UFA;32.7%;33;$1,210,000;$0
Cameron Sutton;CB;Steelers;;UFA;23.4%;30;$1,210,000;$0
Kareem Hunt;RB;Chiefs;;UFA;41.6%;30;$1,210,000;$0
Ahkello Witherspoon;CB;Rams;;UFA;44.3%;30;$1,210,000;$0
Kyle Peko;IDL;Lions;;UFA;7.8%;32;$1,210,000;$0
Tyler Matakevich;LB;Steelers;;UFA;0.0%;33;$1,210,000;$0
Jalen Mills;S;Jets;;UFA;39.9%;31;$1,210,000;$0
Sheldon Day;IDL;Commanders;;UFA;25.1%;31;$1,210,000;$0
Nick Vannett;TE;Titans;;UFA;36.5%;32;$1,210,000;$0
Nick Vigil;LB;Cowboys;;UFA;11.4%;32;$1,210,000;$0
Noah Brown;WR;Commanders;;UFA;40.4%;29;$1,210,000;$0
Daryl Worley;CB;Titans;;UFA;43.4%;30;$1,210,000;$0
Vonn Bell;S;Bengals;;UFA;62.2%;31;$1,210,000;$0
Germain Ifedi;RT;Browns;;UFA;45.6%;31;$1,210,000;$0
Artie Burns;CB;Seahawks;;UFA;4.5%;30;$1,210,000;$0
JuJu Smith-Schuster;WR;Chiefs;;UFA;36.9%;29;$1,210,000;$0
Eli Apple;CB;Chargers;;UFA;4.3%;30;$1,210,000;$0
Zach Cunningham;LB;Broncos;;UFA;1.3%;31;$1,210,000;$0
Troy Hill;CB;Buccaneers;;UFA;19.4%;34;$1,210,000;$0
Michael Burton;FB;Broncos;;UFA;15.9%;33;$1,210,000;$0
Geoff Swaim;TE;Browns;;UFA;11.8%;32;$1,210,000;$0
Eric Saubert;TE;49ers;;UFA;34.9%;31;$1,210,000;$0
Conor McDermott;RG;Rams;;UFA;0.0%;33;$1,210,000;$0
Justin Hardee;WR;Titans;;UFA;0.0%;31;$1,210,000;$0
DeShawn Williams;IDL;Panthers;;UFA;27.7%;33;$1,210,000;$0
C.J. Uzomah;TE;Eagles;;UFA;11.4%;32;$1,210,000;$0
Fred Johnson;RG;Eagles;;UFA;41.6%;28;$1,202,500;$200,000
